	trp-L[-0.0]	utp[0.0]	his-L[0.0]	mobd[0.0]	dgtp[-0.0]	thmpp[0.0]	asn-L[-0.0]	nh4[0.0]	pydx5p[-0.0]	nadp[-0.0]	dctp[-0.0]	met-L[-0.0]	phe-L[0.0]	fe2[-0.0]	k[-0.0]	arg-L[-0.0]	fe3[0.0]	protein[-0.0]	pe160c[-0.0]	gly[-0.0]	dna[-0.0]	mlthf[0.0]	utp[-0.0]	pe160p[0.0]	atp[-0.0]	arg-L[0.0]	inorganic[-0.0]	mg2[-0.0]	murein[0.0]	sheme2[-0.0]	cu2[0.0]	pro-L[-0.0]	ser-L[0.0]	mg2[0.0]	met-L[0.0]	murein5px4p[0.0]	ser-L[-0.0]	lipids[0.0]	mn2[0.0]	dna[0.0]	lipids[-0.0]	ile-L[0.0]	k[0.0]	2ohph[-0.0]	lys-L[-0.0]	ribflv[0.0]	ctp[0.0]	lys-L[0.0]	pydx5p[0.0]	gtp[0.0]	his-L[-0.0]	zn2[0.0]	glu-L[0.0]	thr-L[-0.0]	cobalt2[0.0]	phe-L[-0.0]	nh4[-0.0]	2ohph[0.0]	ile-L[-0.0]	sheme2[0.0]	tyr-L[-0.0]	dctp[0.0]	thr-L[0.0]	murein5px4p[-0.0]	cobalt2[-0.0]	lps[0.0]	solublep[-0.0]	fad[-0.0]	dgtp[0.0]	mn2[-0.0]	mlthf[-0.0]	kdo2lipid4[0.0]	glu-L[-0.0]	asp-L[-0.0]	pe161p[0.0]	nadp[0.0]	cl[-0.0]	pheme[-0.0]	rna[-0.0]	amet2[-0.0]	ala-L[0.0]	val-L[-0.0]	protein[0.0]	gly[0.0]	lps[-0.0]	amet2[0.0]	pro-L[0.0]	dttp[-0.0]	gln-L[-0.0]	ala-L[-0.0]	fad[0.0]	nad[-0.0]	mobd[-0.0]	leu-L[0.0]	nad[0.0]	ctp[-0.0]	trp-L[0.0]	gln-L[0.0]	cys-L[-0.0]	dttp[0.0]	coa[0.0]	coa[-0.0]	10fthf[-0.0]	asp-L[0.0]	asn-L[0.0]	solublep[0.0]	udcpdp[-0.0]	pe161p[-0.0]	ca2[0.0]	so4[-0.0]	pe160p[-0.0]	pe160c[0.0]	cl[0.0]	pi[0.0]	rna[0.0]	atp[0.0]	tyr-L[0.0]	pi[-0.0]	thf[-0.0]	pheme[0.0]	pe161c[0.0]	ribflv[-0.0]	so4[0.0]	murein[-0.0]	original	fe3[-0.0]	thf[0.0]	gtp[-0.0]	pe161c[-0.0]	thmpp[-0.0]	udcpdp[0.0]	kdo2lipid4[-0.0]	ca2[-0.0]	fe2[0.0]	cu2[-0.0]	datp[-0.0]	cys-L[0.0]	val-L[0.0]	zn2[-0.0]	inorganic[0.0]	datp[0.0]	leu-L[-0.0]	10fthf[0.0]
M_glu_L_c	 0.2498649474790036	 0.2632	 0.24991570270886918	 0.2632	 0.2632	 0.2632	 0.2503520963182417	 0.2632	 0.2632	 0.2632	 0.2632	 0.25006650225295657	 0.25022434230195467	 0.2632	 0.2632	 0.25093015997116863	 0.2632	 0.24981643267547474	 0.2632	 0.2515547073311502	 0.25802015027392783	 0.2632	 0.2632	 0.2632	 0.2632	 0.25093015997116863	 0.25240520399853666	 0.2632	 0.25639054932482935	 0.2632	 0.2632	 0.2501996009756533	 0.25014375448940024	 0.2632	 0.25006650225295657	 0.2632	 0.25014375448940024	 0.2755328301567736	 0.2632	 0.25802015027392783	 0.2755328301567736	 0.25058883207205995	 0.2632	 0.2632	 0.25104887883229554	 0.2632	 0.2632	 0.25104887883229554	 0.2632	 0.2632	 0.24991570270886918	 0.2632	 0.23820668597991995	 0.25034209846597283	 0.2632	 0.25022434230195467	 0.2632	 0.2632	 0.25058883207205995	 0.2632	 0.2500668267536477	 0.2632	 0.25034209846597283	 0.2632	 0.2632	 0.25884274373920074	 0.25747465312747136	 0.2632	 0.2632	 0.2632	 0.2632	 0.2632	 0.23820668597991995	 0.25035160704211956	 0.2632	 0.2632	 0.2632	 0.2632	 0.3163260024137505	 0.2632	 0.2513377076161999	 0.2512557464029664	 0.24981643267547474	 0.2515547073311502	 0.25884274373920074	 0.2632	 0.2501996009756533	 0.2632	 0.25053384651346255	 0.2513377076161999	 0.2632	 0.2632	 0.2632	 0.2516819602562693	 0.2632	 0.2632	 0.2498649474790036	 0.25053384651346255	 0.24988618794294468	 0.2632	 0.2632	 0.2632	 0.2632	 0.25035160704211956	 0.2503520963182417	 0.25747465312747136	 0.2632	 0.2632	 0.2632	 0.2632	 0.2632	 0.2632	 0.2632	 0.2632	 0.3163260024137505	 0.2632	 0.2500668267536477	 0.2632	 0.2632	 0.2632	 0.2632	 0.2632	 0.2632	 0.25639054932482935	 0.2632	 0.2632	 0.2632	 0.2632	 0.2632	 0.2632	 0.2632	 0.2632	 0.2632	 0.2632	 0.2632	 0.2632	 0.24988618794294468	 0.2512557464029664	 0.2632	 0.25240520399853666	 0.2632	 0.2516819602562693	 0.2632
M_2ohph_c	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 0.0018906666343681518	 2.23E-4	 2.23E-4	 0.0018897567861308807	 0.001903803887775744	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 0.004332439746560258	 2.23E-4	 2.23E-4	 0.0019505157757289295	 0.0018908369019283277	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 0.0019080693184332742	 2.23E-4	 0.0019381967287243256	 0.001895475734409985	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 0.0020829037243078156	 2.23E-4	 0.0019505157757289295	 0.0020829037243078156	 2.23E-4	 2.23E-4	 0.00181323007217518	 2.23E-4	 0.0018904306967753649	 2.23E-4	 2.23E-4	 0.0018897567861308807	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 0.00181323007217518	 2.23E-4	 0.001895475734409985	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 0.0019567342107206266	 0.001888499376705753	 0.0018925245343356938	 2.23E-4	 2.23E-4	 0.0018908369019283277	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 0.001903803887775744	 2.23E-4	 0.001891655071566895	 0.002391281678296246	 0.0018905492644172052	 2.23E-4	 2.23E-4	 0.004332439746560258	 2.23E-4	 0.0019567342107206266	 0.0018905492644172052	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 0.0018925245343356938	 0.0021482298067387853	 2.23E-4	 2.23E-4	 0.0021482298067387853	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 0.001914916312615966	 0.001914916312615966	 0.0018909191229111216	 2.23E-4	 2.23E-4	 0.001888499376705753	 0.001888790465530496	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 0.002391281678296246	 2.23E-4	 2.23E-4	 2.23E-4	 0.0018955499513857782	 0.001891655071566895	 2.23E-4	 0.0018904306967753649	 2.23E-4	 0.0019381967287243256	 2.23E-4	 2.23E-4	 0.0018955499513857782	 2.23E-4	 2.23E-4	 0.0018906666343681518	 0.001888790465530496	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 0.0019080693184332742	 2.23E-4	 2.23E-4	 0.0018909191229111216
M_ser_L_c	 0.20488925865938976	 0.2158	 0.2049308779482302	 0.2158	 0.2158	 0.2158	 0.20528872071093118	 0.2158	 0.2158	 0.2158	 0.2158	 0.20505453357542394	 0.20518396241669307	 0.2158	 0.2158	 0.20576273291032587	 0.2158	 0.2048494765201608	 0.2158	 0.20627486174982648	 0.21157652500758137	 0.2158	 0.2158	 0.2158	 0.2158	 0.20576273291032587	 0.2069722690229604	 0.2158	 0.21024025221805975	 0.2158	 0.2158	 0.20516367452895504	 0.19684211463252213	 0.2158	 0.20505453357542394	 0.2158	 0.19684211463252213	 0.2259369226325303	 0.2158	 0.21157652500758137	 0.2259369226325303	 0.2054828440306981	 0.2158	 0.2158	 0.20586008237727027	 0.2158	 0.2158	 0.20586008237727027	 0.2158	 0.2158	 0.2049308779482302	 0.2158	 0.20543761313539283	 0.20528052247200168	 0.2158	 0.20518396241669307	 0.2158	 0.2158	 0.2054828440306981	 0.2158	 0.2050547996659929	 0.2158	 0.20528052247200168	 0.2158	 0.2158	 0.21225105165478939	 0.21112921734371756	 0.2158	 0.2158	 0.2158	 0.2158	 0.2158	 0.20543761313539283	 0.2052883195045077	 0.2158	 0.2158	 0.2158	 0.2158	 0.2593873241651387	 0.2158	 0.2060969219820677	 0.20602971378664986	 0.2048494765201608	 0.20627486174982648	 0.21225105165478939	 0.2158	 0.20516367452895504	 0.2158	 0.20543775587226829	 0.2060969219820677	 0.2158	 0.2158	 0.2158	 0.20637920914930347	 0.2158	 0.2158	 0.20488925865938976	 0.20543775587226829	 0.20490667583996822	 0.2158	 0.2158	 0.2158	 0.2158	 0.2052883195045077	 0.20528872071093118	 0.21112921734371756	 0.2158	 0.2158	 0.2158	 0.2158	 0.2158	 0.2158	 0.2158	 0.2158	 0.2593873241651387	 0.2158	 0.2050547996659929	 0.2158	 0.2158	 0.2158	 0.2158	 0.2158	 0.2158	 0.21024025221805975	 0.2158	 0.2158	 0.2158	 0.2158	 0.2158	 0.2158	 0.2158	 0.2158	 0.2158	 0.2158	 0.2158	 0.2158	 0.20490667583996822	 0.20602971378664986	 0.2158	 0.2069722690229604	 0.2158	 0.20637920914930347	 0.2158
M_pro_L_c	 0.20988655628862343	 0.2211	 0.209929190681793	 0.2211	 0.2211	 0.2211	 0.21029576131437547	 0.2211	 0.2211	 0.2211	 0.2211	 0.21005586229907164	 0.21018844794048666	 0.2211	 0.2211	 0.21078133478377406	 0.2211	 0.20984580385358031	 0.2211	 0.21130595456717402	 0.2167369266496195	 0.2211	 0.2211	 0.2211	 0.2211	 0.21078133478377406	 0.21202037176916147	 0.2211	 0.21536806184972715	 0.2211	 0.2211	 0.20148134169497445	 0.21012075417780987	 0.2211	 0.21005586229907164	 0.2211	 0.21012075417780987	 0.23144757777968414	 0.2211	 0.2167369266496195	 0.23144757777968414	 0.21049461934796776	 0.2211	 0.2211	 0.21088105862731363	 0.2211	 0.2211	 0.21088105862731363	 0.2211	 0.2211	 0.209929190681793	 0.2211	 0.21044828526039486	 0.21028736311845336	 0.2211	 0.21018844794048666	 0.2211	 0.2211	 0.21049461934796776	 0.2211	 0.21005613487965272	 0.2211	 0.21028736311845336	 0.2211	 0.2211	 0.21742790516178617	 0.21627870904570914	 0.2211	 0.2211	 0.2211	 0.2211	 0.2211	 0.21044828526039486	 0.2102953503224321	 0.2211	 0.2211	 0.2211	 0.2211	 0.2657138425418712	 0.2211	 0.2111236748062629	 0.21105482738701348	 0.20984580385358031	 0.21130595456717402	 0.21742790516178617	 0.2211	 0.20148134169497445	 0.2211	 0.21044843147865658	 0.2111236748062629	 0.2211	 0.2211	 0.2211	 0.21141284702448093	 0.2211	 0.2211	 0.20988655628862343	 0.21044843147865658	 0.2099043982783685	 0.2211	 0.2211	 0.2211	 0.2211	 0.2102953503224321	 0.21029576131437547	 0.21627870904570914	 0.2211	 0.2211	 0.2211	 0.2211	 0.2211	 0.2211	 0.2211	 0.2211	 0.2657138425418712	 0.2211	 0.21005613487965272	 0.2211	 0.2211	 0.2211	 0.2211	 0.2211	 0.2211	 0.21536806184972715	 0.2211	 0.2211	 0.2211	 0.2211	 0.2211	 0.2211	 0.2211	 0.2211	 0.2211	 0.2211	 0.2211	 0.2211	 0.2099043982783685	 0.21105482738701348	 0.2211	 0.21202037176916147	 0.2211	 0.21141284702448093	 0.2211
M_asp_L_c	 0.22887629032666473	 0.2411	 0.22892278211690387	 0.2411	 0.2411	 0.2411	 0.2293225186603573	 0.2411	 0.2411	 0.2411	 0.2411	 0.22906091449834393	 0.22920549598223813	 0.2411	 0.2411	 0.22985202496281992	 0.2411	 0.22883185076693593	 0.2411	 0.23042411034065344	 0.23634645603576543	 0.2411	 0.2411	 0.2411	 0.2411	 0.22985202496281992	 0.23120316528265553	 0.2411	 0.23485374157659214	 0.2411	 0.2411	 0.229182832927501	 0.2291316775464427	 0.2411	 0.22906091449834393	 0.2411	 0.2291316775464427	 0.25238807069882646	 0.2411	 0.23634645603576543	 0.25238807069882646	 0.22953936860937293	 0.2411	 0.2411	 0.22996077143886895	 0.2411	 0.2411	 0.22996077143886895	 0.2411	 0.2411	 0.22892278211690387	 0.2411	 0.22948884239051032	 0.2293133606277416	 0.2411	 0.22920549598223813	 0.2411	 0.2411	 0.22953936860937293	 0.2411	 0.22906121174097496	 0.2411	 0.2293133606277416	 0.2411	 0.2411	 0.2370999516448061	 0.23584678065302597	 0.2411	 0.2411	 0.2411	 0.2411	 0.2411	 0.22948884239051032	 0.21898655505792855	 0.2411	 0.2411	 0.2411	 0.2411	 0.28975461623086046	 0.2411	 0.23022533860311734	 0.2301502621323085	 0.22883185076693593	 0.23042411034065344	 0.2370999516448061	 0.2411	 0.229182832927501	 0.2411	 0.22948900183804194	 0.23022533860311734	 0.2411	 0.2411	 0.2411	 0.23054067401926598	 0.2411	 0.2411	 0.22887629032666473	 0.22948900183804194	 0.2288957465915018	 0.2411	 0.2411	 0.2411	 0.2411	 0.21898655505792855	 0.2293225186603573	 0.23584678065302597	 0.2411	 0.2411	 0.2411	 0.2411	 0.2411	 0.2411	 0.2411	 0.2411	 0.28975461623086046	 0.2411	 0.22906121174097496	 0.2411	 0.2411	 0.2411	 0.2411	 0.2411	 0.2411	 0.23485374157659214	 0.2411	 0.2411	 0.2411	 0.2411	 0.2411	 0.2411	 0.2411	 0.2411	 0.2411	 0.2411	 0.2411	 0.2411	 0.2288957465915018	 0.2301502621323085	 0.2411	 0.23120316528265553	 0.2411	 0.23054067401926598	 0.2411
M_thf_c	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 0.0018934927502839824	 2.23E-4	 2.23E-4	 0.0018925815420308642	 0.0019066496408926925	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 0.0043389157570316765	 2.23E-4	 2.23E-4	 0.0019534313524771853	 0.0018936632723553731	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 0.0019109214473973708	 2.23E-4	 0.0019410938913036451	 0.001898309038834843	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 0.002086017190880614	 2.23E-4	 0.0019534313524771853	 0.002086017190880614	 2.23E-4	 2.23E-4	 0.0018946811923312395	 2.23E-4	 0.0018932564600182419	 2.23E-4	 2.23E-4	 0.0018925815420308642	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 0.0018946811923312395	 2.23E-4	 0.001898309038834843	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 0.0019596590826126067	 0.0018913222530650901	 0.0018953534273887377	 2.23E-4	 2.23E-4	 0.0018936632723553731	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 0.0019066496408926925	 2.23E-4	 0.0018944826649711674	 0.002394856099660341	 0.0018933752048916966	 2.23E-4	 2.23E-4	 0.0043389157570316765	 2.23E-4	 0.0019596590826126067	 0.0018933752048916966	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 0.0018953534273887377	 0.002151440920923236	 2.23E-4	 2.23E-4	 0.002151440920923236	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 0.0019177786762765892	 0.0019177786762765892	 0.001893745616239806	 2.23E-4	 2.23E-4	 0.0018913222530650901	 0.0018916137770013139	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 0.002394856099660341	 2.23E-4	 2.23E-4	 2.23E-4	 0.0018193708249372783	 0.0018944826649711674	 2.23E-4	 0.0018932564600182419	 2.23E-4	 0.0019410938913036451	 2.23E-4	 2.23E-4	 0.0018193708249372783	 2.23E-4	 2.23E-4	 0.0018934927502839824	 0.0018916137770013139	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 0.0019109214473973708	 2.23E-4	 2.23E-4	 0.001893745616239806
M_pe160_c	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.0486115420259789	 0.018258707587792824	 0.02233	 0.021885492967204486	 0.02233	 0.02233	 0.023267585802155343	 0.02233	 0.02233	 0.021409228353410397	 0.02233	 0.021747268801095825	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.02118964652414465	 0.02233	 0.021885492967204486	 0.02118964652414465	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.021955266058492066	 0.021839223426047605	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.024171076351094518	 0.02233	 0.02233	 0.02233	 0.02683104592342991	 0.02233	 0.02233	 0.02233	 0.0486115420259789	 0.02233	 0.021955266058492066	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.021839223426047605	 0.02233	 0.024171076351094518	 0.02233	 0.02233	 0.023267585802155343	 0.018258707587792824	 0.02233	 0.02233	 0.02683104592342991	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.021975254799229998	 0.02233	 0.02233	 0.021747268801095825	 0.02233	 0.02233	 0.02233	 0.02233	 0.021975254799229998	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.02233	 0.021409228353410397	 0.02233	 0.02233	 0.02233
M_mobd_c	 0.003158	 0.003158	 0.003158	 0.00297081781768873	 0.003158	 0.003158	 0.003158	 0.003010751022786071	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.0030111050356970166	 0.005766891756592402	 0.003158	 0.0030111050356970166	 0.006900223117272596	 0.003158	 0.003158	 0.0031065623144500565	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.003007789563939337	 0.0030095352340451724	 0.0030869419208851097	 0.003158	 0.0030085316507972967	 0.003158	 0.003158	 0.0030095352340451724	 0.003158	 0.003158	 0.003158	 0.0033174149602272097	 0.0030084311055833305	 0.0031065623144500565	 0.0033174149602272097	 0.003158	 0.005766891756592402	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.0030085361257294655	 0.003158	 0.003158	 0.0030084777704351834	 0.003158	 0.003010751022786071	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.0030084777704351834	 0.003116466338831938	 0.0030999945294300775	 0.003158	 0.003158	 0.0030084311055833305	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.0030087036205145032	 0.003158	 0.003808564707585524	 0.003158	 0.003158	 0.003158	 0.006900223117272596	 0.003158	 0.003116466338831938	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.00297081781768873	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.0030999945294300775	 0.003158	 0.003158	 0.003008834196815746	 0.0030095485067362943	 0.003158	 0.003158	 0.0030087036205145032	 0.0030095469677560147	 0.003808564707585524	 0.003158	 0.003158	 0.0030095469677560147	 0.003158	 0.003158	 0.003158	 0.003158	 0.0030095485067362943	 0.0030869419208851097	 0.003158	 0.0030111050356970166	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.003008834196815746	 0.0030111050356970166	 0.0030085316507972967	 0.003158	 0.003158	 0.003158	 0.0030085361257294655	 0.003007789563939337	 0.003158	 0.003158	 0.003158
M_murein5px4p_p	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.030299781375423617	 0.01389	 0.01389	 0.013641321064147286	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.013344463300057036	 0.01389	 0.013207597009800037	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.013207597009800037	 0.01389	 0.014567202584338279	 0.01389	 0.013641321064147286	 0.014567202584338279	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.013207597009800037	 0.01389	 0.013684810929388988	 0.013612481061897504	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.016723905304616933	 0.01389	 0.01389	 0.01389	 0.030299781375423617	 0.01389	 0.013684810929388988	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.013612481061897504	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.016723905304616933	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.013207597009800037	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.01389	 0.013344463300057036	 0.01389	 0.01389	 0.01389
M_pe160_p	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.09030149292922005	 0.04040796219441404	 0.04148	 0.040654803490379796	 0.04148	 0.04148	 0.030325991363845718	 0.04148	 0.04148	 0.039770087559501066	 0.04148	 0.04039803631044055	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.03936218922555746	 0.04148	 0.040654803490379796	 0.03936218922555746	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.04078441497865943	 0.04056885253162635	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.0449005357419753	 0.04148	 0.04148	 0.04148	 0.04984173311028379	 0.04148	 0.04148	 0.04148	 0.09030149292922005	 0.04148	 0.04078441497865943	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.04056885253162635	 0.04148	 0.0449005357419753	 0.04148	 0.04148	 0.030325991363845718	 0.04040796219441404	 0.04148	 0.04148	 0.04984173311028379	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.04082154634818985	 0.04148	 0.04148	 0.04039803631044055	 0.04148	 0.04148	 0.04148	 0.04148	 0.04082154634818985	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.04148	 0.039770087559501066	 0.04148	 0.04148	 0.04148
